ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
12576,ANTH,1010,001,Lecture,"3","Sevil Baltali Tirpan","MoTuWeThFr 10:30AM - 12:45PM","Wilson Hall 214","Introduction to Anthropology","",Open,0,30,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
12577,ANTH,1010,002,Lecture,"3","Julia Haines","MoTuWeThFr 10:30AM - 12:45PM","New Cabell Hall 485","Introduction to Anthropology","",Open,0,30,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
12578,ANTH,1010,003,Lecture,"3","Mary Pancoast","MoTuWeThFr 10:30AM - 12:45PM","New Cabell Hall 132","Introduction to Anthropology","",Open,0,24,0,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
12579,ANTH,1050,001,Lecture,"3","Karim Mata","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 332","Anthropology of Globalization","",Open,0,24,0,"Anthropology of Globalization"
12580,ANTH,2280,001,Lecture,"3","Jacqueline Cieslak","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 383","Medical Anthropology","",Open,0,30,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
12581,ANTH,2400,001,Lecture,"3","Grace East","MoTuWeThFr 10:30AM - 12:45PM","New Cabell Hall 383","Language and Culture","",Open,0,30,0,"Introduces the interrelationships of linguistic, cultural, and social phenomena with emphasis on the importance of these interrelationships in interpreting human behavior. No prior knowledge of linguistics is required."
12582,ANTH,2557,001,Lecture,"3","Roberto Armengol","MoTuWeThFr 10:30AM - 12:45PM","New Cabell Hall 364","Culture Through Film","",Open,0,30,0,"Topics to be announced prior to each semester covering the diversity of human cultural worlds and the field of anthropology as presented through film. A variety of ethnographic and commercial films will be viewed and discussed in conjunction with readings."
12583,ANTH,2620,001,Lecture,"3","Xinyan Peng","MoTuWeThFr 10:30AM - 12:45PM","New Cabell Hall 332","Sex, Gender, and Culture","",Open,0,30,0,"Examines the manner in which ideas about sexuality and gender are constructed differently cross-culturally and how these ideas give shape to other social phenomena, relationships, and practices."
12584,ANTH,3300,001,Lecture,"3","George Mentore","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 485","Tournaments and Athletes","",Open,0,30,0,"A cross-cultural study of sport and competitive games. Prerequisite: ANTH 101 or instructor permission."
10487,ANTH,9999,001,Independent Study,"1 - 12","Richard Handler","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10536,ANTH,9999,002,Independent Study,"1 - 12","Susan McKinnon","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
11159,APMA,2120,001,Lecture,"4","Megan Ryals","MoTuWeThFr 10:30AM - 12:45PM","Chemical Engineering Bldg 005","Multivariable Calculus","",Open,0,35,0,"Topics include vectors in three-space and vector valued functions.  The multivariate calculus, including partial differentiation, multiple integrals, line and surface integrals, and the vector calculus, including Green's theorem, the divergence theorem, and Stokes's theorem.  Applications.  Prerequisite: APMA 1110."
11160,APMA,2130,001,Lecture,"4","Julia Spencer","MoTuWeThFr 10:30AM - 12:45PM","Chemical Engineering Bldg 005","Ordinary Differential Equations","",Open,0,35,0,"First order differential equations, second order and higher order linear differential equations, reduction of order, undetermined coefficients, variation of parameters, series solutions, Laplace transforms, linear systems of first order differential equations and the associated matrix theory, numerical methods.  Applications.  Prerequisite: APMA 2120 or equivalent."
11161,APMA,3080,001,Lecture,"3","James Lark","MoTuWeThFr 9:00AM - 10:00AM","Wilsdorf Hall 101","Linear Algebra","",Open,0,35,0,"Analyzes the systems of linear equations; vector spaces; linear dependence; bases; dimension; linear mappings; matrices; determinants; quadratic forms; eigenvalues; eigenvectors; orthogonal reduction to diagonal form;  inner product spaces; numerical methods; geometric applications.  Prerequisite: APMA 2120 or equivalent."
11162,APMA,3100,001,Lecture,"3","Meiqin Li","MoTuWeThFr 10:30AM - 12:45PM","Thornton Hall D222","Probability","",Open,0,35,0,"A calculus-based introduction to probability theory and its applications in engineering and applied science. Includes counting techniques, conditional probability, independence, discrete and continuous random variables, probability distribution functions, expected value and variance, joint distributions, covariance, correlation, the Central Limit theorem, the Poisson process, an introduction to statistical inference.  Prerequisite: APMA 2120 or equivalent."
11163,APMA,3110,001,Lecture,"3","Norman Beil","MoTuWeThFr 11:45AM - 12:45PM","Mechanical Engineering 305","Applied Statistics and Probability","",Open,0,20,0,"Examines variability and its impact on decision-making.  Introduces students to basic concepts of probability, such as random variables, probability distribution functions, and the central limit theorem. Based on this foundation, the course then emphasizes applied statistics covering topics such as descriptive statistics, statistical inference, confidence intervals, hypothesis testing, correlation, regression modeling, statistical quality control.  Students cannot receive credit for both this course and APMA 3120.  Prerequisite: APMA 2120 or equivalent."
11164,APMA,3120,001,Lecture,"3","James Lark","MoTuWeThFr 10:30AM - 11:30AM","Wilsdorf Hall 101","Statistics","",Open,0,35,0,"Includes confidence interval and point estimation methods, hypothesis testing for single samples, inference procedures for single-sample and two-sample studies, single and multifactor analysis of variance techniques, linear and non-linear regression and correlation, and using Minitab for large data sets. Students cannot receive credit for both this course and APMA 3110.  Prerequisite: APMA 3100."
10865,ARAB,1016,1,Lecture,"4","Bilal Maanaki","MoTuWeThFr 9:00AM - 12:00PM","New Cabell Hall 111","Intensive Introductory Arabic","",Open,0,15,0,"This intensive course begins with instruction in basic oral expression, listening comprehension, elementary reading and writing, and continues with further development of these four skills at the intermediate level. Part of the Summer Language Institute."
10866,ARAB,1026,1,Lecture,"4","Abir Abyad, Bilal Maanaki","MoTuWeThFr 9:00AM - 12:00PM","New Cabell Hall 111","Intensive Introductory Arabic","",Open,0,15,0,"This intensive course begins with instruction in basic oral expression, listening comprehension, elementary reading and writing, and continues with further development of these four skills at the intermediate level. Part of the Summer Language Institute.  Prerequisites:  ARAB 1016 or equivalent."
10863,ARAB,116,1,Lecture,"0","Bilal Maanaki","MoTuWeThFr 9:00AM - 12:00PM","New Cabell Hall 111","Intensive Introductory Arabic","",Open,0,15,0,"This intensive course begins with instruction in basic oral expression, listening comprehension, elementary reading and writing, and continues with further development of these four skills at the intermediate level. Part of the Summer Language Institute."
10864,ARAB,126,1,Lecture,"0","Abir Abyad, Bilal Maanaki","MoTuWeThFr 9:00AM - 12:00PM","New Cabell Hall 111","Intensive Introductory Arabic","",Open,0,15,0,"This intensive course begins with instruction in basic oral expression, listening comprehension, elementary reading and writing, and continues with further development of these four skills at the intermediate level. Part of the Summer Language Institute."
10640,ARAB,2016,002,Lecture,"4","Bilal Humeidan","MoTuWeThFr 9:00AM - 12:00PM","New Cabell Hall 115","Intensive Intermediate Arabic","",Open,0,15,0,"This intensive course begins with instruction in basic intermediate level expression, listening comprehension, reading and writing, and continues with further development of these four skills. Part of the Summer Language Institute.  Prerequistes:  ARAB 1016  & 1026 or equivalent."
10641,ARAB,2026,002,Lecture,"4","Bilal Maanaki, Mohammed Shihab","MoTuWeThFr 9:00AM - 12:00PM","New Cabell Hall 115","Intensive Intermediate Arabic","",Open,0,15,0,"This intensive course begins with instruction in intermediate level oral expression, listening comprehension, reading and writing, and continues with further development of these four skills. Part of the Summer Language Institute.  Prerequisites:  ARAB 1016 , 1026 & 2016 or equivalent."
10638,ARAB,216,002,Lecture,"0","Bilal Humeidan","MoTuWeThFr 9:00AM - 12:00PM","New Cabell Hall 115","Intensive Intermediate Arabic","",Open,0,15,0,"This intensive course begins with instruction in basic intermediate level expression, listening comprehension, reading and writing, and continues with further development of these four skills. Part of the Summer Language Institute."
10636,ARAB,2256,1,Lecture,"0.5","Abir Abyad, Bilal Maanaki","MoTuWeThFr 12:00PM - 1:00PM","Monroe Hall 113","Introduction to Colloquial Arabic I","",Open,0,10,0,"This course intends to introduce students to a variety of colloquial Arabic by enabling them to communicate with native speakers in the region where this variety is spoken. The focus will be on vocabulary and expressions used in daily life.  Prerequisite: ARAB 1010 and ARAB 1020, or instructor's permission."
10639,ARAB,226,002,Lecture,"0","Bilal Maanaki, Mohammed Shihab","MoTuWeThFr 9:00AM - 12:00PM","New Cabell Hall 115","Intensive Intermediate Arabic","",Open,0,15,0,"This intensive course begins with instruction in basic intermediate level expression, listening comprehension, reading and writing, and continues with further development of these four skills. Part of the Summer Language Institute."
10637,ARAB,2266,1,Lecture,"0.5","Abir Abyad, Bilal Maanaki","MoTuWeThFr 12:00PM - 1:00PM","Monroe Hall 113","Introduction to Colloquial Arabic II","",Open,0,10,0,"This course is a  continuation of ARAB 2256. The course intends to introduce students to a variety of colloquial Arabic by enabling them to communicate with native speakers in the region where this variety is spoken. The focus will be on the vocabulary and expressions used in daily life.  Prerequisite: ARAB 1010, ARAB 1020, and ARAB 2256. or instructor's permission"
10634,ARAB,256,1,Lecture,"0","Abir Abyad, Bilal Maanaki","MoTuWeThFr 12:00PM - 1:00PM","Monroe Hall 113","Introduction to Levantine Arabic-I","",Open,0,10,0,"This course intends to introduce the students to colloquial Levantine Arabic by enabling them to communicate in Levantine Arabic, the colloquial spoken in Syria, Lebanon, the Holy Land, and Western Jordan  Prerequisite: First Year Arabic"
10510,ARAH,9998,001,Independent Study,"1 - 12","Douglas Fordham","TBA","TBA","Non-Topical Rsch,Doctoral Prep","",Open,0,30,0,"For doctoral research, taken before a dissertation director has been selected."
10185,ARCH,1031,001,Studio,"4","Ines Martin Robles","MoTuWeThFr 1:00PM - 6:00PM","TBA","Summer Foundation Studio I","",Open,0,20,0,"The studio course introduces  architecture, urban and environmental planning, and architectural history to the built environment related to scales from the body to buildings, landscapes, and cities.Students explore comprehensive and foundational design principles, skill sets, and critical thinking."
10181,ARCH,2011,001,Studio,"6","Peter Waldman","MoTuWeThFr 1:00PM - 6:00PM","Campbell Hall 302A","Summer Intro to Design Studio","",Open,0,20,0,"Prerequisite: For undergraduate transfer students accepted by the Dept. of Architecture only.  This introductory architectural design studio explores comprehensive & foundational design principles, skill sets, & critical thinking. The material covered is presented through a series of lectures, projects, exercises,workshops, symposia & reviews involving the beginning design student in the thoughtful application of comprehensive critical design."
10182,ARCH,2021,001,Studio,"6","Luis Pancorbo Crespo","MoTuWeThFr 9:00AM - 2:00PM","Campbell Hall 302A","Summer Intro to Design Studio 1","",Open,0,20,0,"Prerequisite: ARCH 2010 or 2011, for undergraduate transfer students accepted by the Dept. of Architecture only.   The second architectural studio in the core curriculum fosters the development of the beginning design student's design methodology founded on thoughtful, creative, ethical and rigorous work practices in service of exploring meaningful formal and spatial propositions."
10188,ARCH,3500,002,Independent Study,"3","Phoebe Crisman","MoTuWeThFr 10:00AM - 3:00PM","Campbell Hall 158","Special Topics in Architecture","Sust Communities & Glob Envir",Open,0,30,0,"Topical offerings in architecture."
10184,ARCH,4993,001,Independent Study,"1 - 4","Matthew Jull","TBA","TBA","Independent Study","",Open,0,30,0,"Independent research on topics selected by individual students in consultation with a faculty advisor"
10186,ARCH,4993,002,Independent Study,"1 - 4","William Sherman","TBA","TBA","Independent Study","",Open,0,30,0,"Independent research on topics selected by individual students in consultation with a faculty advisor"
10180,ARCH,5422,001,Lecture,"3","Earl Mark","MoTuWeThFr 10:30AM - 12:45PM","TBA","Computer Animation: Design in Motion","",Open,0,24,0,"Arch 5422 is a hands-on workshop in moviemaking by techniques in three-dimensional computer animation with composite video,  sound editing and capture. We screen independent and feature film animation and ongoing student work concluding in a 1 to 5 min. final project. Short readings are in film and cognitive science. Students may enroll from diverse areas such as design, art,  drama, computer science, the physical sciences, and education."
10190,ARCH,5500,001,Lecture,"1 - 6","Phoebe Crisman","MoTuWeThFr 10:00AM - 3:00PM","Campbell Hall 158","Special Topics in Architecture","Sust Communities & Glob Envir",Open,0,30,0,"Topical offerings in architecture."
12760,ARCH,5500,002,Lecture,"1 - 6","Jeana Ripple","MoTuWeThFr 1:00PM - 3:15PM","TBA","Special Topics in Architecture","Design Manufacture Bldg Studio",Open,0,8,0,"Topical offerings in architecture."
10716,ARCY,3993,001,Independent Study,"3","Malcolm Bell","TBA","TBA","Independent Study","",Open,0,30,0,"An Independent Study in Archaeology. Subject to be determined by student and  instructor."
10717,ARCY,3993,002,Independent Study,"3","John Dobbins","TBA","TBA","Independent Study","",Open,0,30,0,"An Independent Study in Archaeology. Subject to be determined by student and  instructor."
10718,ARCY,3993,003,Independent Study,"3","Anastasia Dakouri-Hild","TBA","TBA","Independent Study","",Open,0,30,0,"An Independent Study in Archaeology. Subject to be determined by student and  instructor."
10719,ARCY,3993,004,Independent Study,"3","Jeffrey Hantman","TBA","TBA","Independent Study","",Open,0,30,0,"An Independent Study in Archaeology. Subject to be determined by student and  instructor."
10720,ARCY,3993,005,Independent Study,"3","Foteini Kondyli","TBA","TBA","Independent Study","",Open,0,30,0,"An Independent Study in Archaeology. Subject to be determined by student and  instructor."
10721,ARCY,3993,006,Independent Study,"3","Adria LaViolette","TBA","TBA","Independent Study","",Open,0,30,0,"An Independent Study in Archaeology. Subject to be determined by student and  instructor."
10722,ARCY,3993,007,Independent Study,"3","Rachel Most","TBA","TBA","Independent Study","",Open,0,30,0,"An Independent Study in Archaeology. Subject to be determined by student and  instructor."
10723,ARCY,3993,008,Independent Study,"3","Fraser Neiman","TBA","TBA","Independent Study","",Open,0,30,0,"An Independent Study in Archaeology. Subject to be determined by student and  instructor."
10724,ARCY,3993,009,Independent Study,"3","Stephen Plog","TBA","TBA","Independent Study","",Open,0,30,0,"An Independent Study in Archaeology. Subject to be determined by student and  instructor."
10725,ARCY,3993,010,Independent Study,"3","Tyler Jo Smith","TBA","TBA","Independent Study","",Open,0,30,0,"An Independent Study in Archaeology. Subject to be determined by student and  instructor."
10726,ARCY,3993,011,Independent Study,"3","Patricia Wattenmaker","TBA","TBA","Independent Study","",Open,0,30,0,"An Independent Study in Archaeology. Subject to be determined by student and  instructor."
10187,ARH,1004,001,Lecture,"3","Betsy Purvis","MoTuWeThFr 1:00PM - 3:15PM","Fayerweather Hall 215","History of Architecture","",Open,0,20,0,"Surveys architecture from the Ancient to the present."
10189,ARH,5611,001,Lecture,"3","Andrew Johnston","MoTuWeTh 9:00AM - 12:00PM","Campbell Hall 108","Architectural Field  School: The Cultural Landscape of Birdwood","",Open,0,30,0,"Through lectures, readings, discussions and on-site tutorials, students in this course will learn fieldwork and archival research methodology through a detailed exploration of the historic UVA Birdwood site. Students will analyze and interpret the data collected to prepare field reports and formal architectural drawings explicating the meanings and significance of the site. 9am to 12pm daily, with time spent both on-site and in the studio."
10191,ARH,8999,001,Independent Study,"6 - 12","Staff","TBA","TBA","Thesis Project","",Open,0,30,0,"For Thesis Preparation, taken before a thesis director has been selected."
10699,ARTH,1004,001,Lecture,"3","Betsy Purvis","MoTuWeThFr 1:00PM - 3:15PM","Fayerweather Hall 215","A History of Architecture","",Open,0,20,0,"This course will introduce students to the study of architecture through an examination of selected examples from the history of architecture with a focus on Europe and the United States and buildings relevant to those regions (e.g. the Great Pyramids, the Parthenon, Versailles).  Classes will be a combination of lectures and discussions as students are taught the fundamentals of architectural history as well as how to analyze buildings."
12718,ARTH,1503,001,Lecture,"3","Eric Ramirez-Weaver","MoTuWeThFr 10:30AM - 12:45PM","TBA","Art and the Premodern World","Art and Astronomy",Open,0,20,0,"This course will train students to understand and critically evaluate comparative, premodern, global cultures."
12332,ARTH,2275,001,Seminar,"3","Carmenita Higginbotham","MoTuWeThFr 10:30AM - 12:45PM","Fayerweather Hall 208","Heroes, Superheroes and American Visual Culture","",Open,0,20,0,"This course examines the aesthetic and cultural importance of 'heroes' and heroic representation in American visual culture from the mid-18th century to the present.  It considers the construction and representation of heroic figures within debates about aesthetics, national identity, political representation, and popular culture. Presented both chronologically and thematically, this coure is both reading and writing intensive."
12704,ARTH,2559,001,Lecture,"3 - 4","Justin Greenlee","MoTuWeThFr 1:00PM - 3:15PM","Fayerweather Hall 215","New Course in History of Art","Monuments, Memorials, & UVA",Open,0,20,0,"This course provides the opportunity to offer new topics in the subject History of Art."
12333,ARTH,2559,002,Lecture,"3 - 4","Christa Robbins","MoTuWeThFr 1:00PM - 3:15PM","Fayerweather Hall 206","New Course in History of Art","Art Now",Open,0,14,0,"This course provides the opportunity to offer new topics in the subject History of Art."
10750,ARTH,3993,1,Independent Study,"1 - 3","Carmenita Higginbotham","Mo 12:00AM - 12:50AM","TBA","Independent Study","",Open,0,30,0,"Independent study in the history of art"
12703,ARTS,2560,001,Studio,"3 - 4","Amanda Nelsen","MoTuWeThFr 8:00AM - 10:15AM","TBA","Special Topics in Printmaking","Introduction to Book Arts",Open,0,14,0,"An introduction to the specialized materials, methods, processes, and cultural issues as they relate to the history and practice of Printmaking"
12334,ARTS,2570,001,Studio,"3","Megan Marlatt","MoTuWeThFr 10:30AM - 12:45PM","Ruffin Hall 320","Special Topics in Painting","Material History of Painting",Open,0,10,0,"Students are introduced to specialized materials, methods and cultural issues as they relate to painting."
10622,ARTS,2610,001,Studio,"3","Akemi Ohira","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 220","Introduction to Drawing I","",Open,0,20,0,"Drawing provides students with a foundation of skills, judgement, and observational abilities that are essential to artistic expression. ARTS2000 is required for every Studio Art major and minor and a prerequisite for all other media related courses in Studio Art."
10805,ARTS,2610,002,Studio,"3","Matthew Shelton","MoTuWeThFr 10:30AM - 12:45PM","TBA","Introduction to Drawing I","",Open,0,20,0,"Drawing provides students with a foundation of skills, judgement, and observational abilities that are essential to artistic expression. ARTS2000 is required for every Studio Art major and minor and a prerequisite for all other media related courses in Studio Art."
12337,ARTS,2620,001,Studio,"3","Elizabeth Schoyer","MoTuWeThFr 10:30AM - 12:45PM","Ruffin Hall 203","Introduction to Drawing II","",Open,0,20,0,"Continuation of ARTS 2610 with projects emphasizing on drawing skills and analytical thinking. The majority of assignments will be concept-based to encourage students to develop individual visual language. Prerequisite: ARTS 2610."
12341,ARTS,2810,001,Studio,"3","William Bennett","MoTuWeThFr 1:00PM - 3:15PM","Ruffin Hall 120","Introduction to Sculpture I","",Open,0,20,0,"Investigates the sculptural process through modeling, carving, fabricating and casting. Examines traditional and contemporary concerns of sculpture by analyzing historical examples and work done in class.  Prerequisite: ARTS 2610 and either ARTS 2620, ARTS 2630, or ARTS 2632."
10738,ARTS,2812,001,Studio,"3","William Bennett","TBA","TBA","Introduction to Sculpture II","",Open,0,15,0,"Introduction to sculpture techniques. Prerequisite: ARTS 2610 and either ARTS 2620, ARTS 2630, or ARTS 2632."
10739,ARTS,4810,001,Studio,"3","Staff","TBA","TBA","Advanced Sculpture I","",Open,0,15,0,"Continuation of the sculpture sequence with greater emphasis on developing a student's individual voice. Advanced projects in moldmaking, metal casting, and non-traditional sculpture materials are assigned. The creation of a sculptural installation is also assigned. Sculpture professors and course content vary from semester to semester.  Prerequisite: ARTS 3810 or 3812."
10740,ARTS,4900,002,Independent Study,"1 - 4","Staff","TBA","TBA","Advanced Project in Art","",Open,0,15,0,"Investigation and development of a consistent idea or theme in painting, sculpture, or the graphic arts. May be taken more than once under the same course number by students who are sufficiently advanced in studio work. This course is not intended to be used for major credit.  Prerequisite: Instructor permission."
10742,ARTS,4900,004,Independent Study,"1 - 4","Akemi Ohira","MoTuWeThFr 1:00PM - 3:15PM","TBA","Advanced Project in Art","",Open,0,10,0,"Investigation and development of a consistent idea or theme in painting, sculpture, or the graphic arts. May be taken more than once under the same course number by students who are sufficiently advanced in studio work. This course is not intended to be used for major credit.  Prerequisite: Instructor permission."
10799,ARTS,4900,005,Independent Study,"1 - 4","William Bennett","TBA","TBA","Advanced Project in Art","",Open,0,5,0,"Investigation and development of a consistent idea or theme in painting, sculpture, or the graphic arts. May be taken more than once under the same course number by students who are sufficiently advanced in studio work. This course is not intended to be used for major credit.  Prerequisite: Instructor permission."
12629,ARTS,4900,501,Independent Study,"1 - 4","William Wylie","Mo 2:00AM - 2:50AM","International Study Program","Advanced Project in Art","",Open,0,50,0,"Investigation and development of a consistent idea or theme in painting, sculpture, or the graphic arts. May be taken more than once under the same course number by students who are sufficiently advanced in studio work. This course is not intended to be used for major credit.  Prerequisite: Instructor permission."
10210,ASTR,1220,001,Lecture,"3","Staff","MoTuWeThFr 10:30AM - 12:45PM","Astronomy Bldg 265","Introduction to Stars, Galaxies, and the Universe","",Open,0,19,0,"A study of stars, star formation, and evolution primarily for non-science majors. Topics include light, atoms, and modern observing technologies; origin of the chemical elements; supernovae, pulsars, neutron stars, and black holes; structure and evolution of our galaxy; nature of other galaxies; active galaxies and quasars; expanding universe, cosmology, the big bang, and the early universe."
